instante,fecha,temporada,a–o,mes,hora,dia_festivo,dia_semana,dia_laboral,categoria_clima,temperatura,humedad,velocidad,casual,registrado,conteo,mala_entrega
63,3/1/11,1,0,1,17,0,1,1,1,0.24,0.3,0.2239,11,146,157,2
64,3/1/11,1,0,1,18,0,1,1,1,0.24,0.32,0.1045,9,148,157,0
65,3/1/11,1,0,1,19,0,1,1,1,0.2,0.47,0,8,102,110,2
66,3/1/11,1,0,1,20,0,1,1,1,0.2,0.47,0.1045,3,49,52,0
67,3/1/11,1,0,1,21,0,1,1,1,0.18,0.64,0.1343,3,49,52,0
68,3/1/11,1,0,1,22,0,1,1,1,0.14,0.69,0.1343,0,20,20,7
69,3/1/11,1,0,1,23,0,1,1,1,0.18,0.55,0.1045,1,11,12,4
70,4/1/11,1,0,1,0,0,2,1,1,0.16,0.55,0.1045,0,5,5,5
71,4/1/11,1,0,1,1,0,2,1,1,0.16,0.59,0.1045,0,2,2,0
72,4/1/11,1,0,1,2,0,2,1,1,0.14,0.63,0.1343,0,1,1,0
73,4/1/11,1,0,1,4,0,2,1,1,0.14,0.63,0.0896,0,2,2,0
74,4/1/11,1,0,1,5,0,2,1,1,0.12,0.68,0.1045,0,4,4,0
75,4/1/11,1,0,1,6,0,2,1,1,0.12,0.74,0.1045,0,36,36,1
76,4/1/11,1,0,1,7,0,2,1,1,0.12,0.74,0.1343,2,92,94,6
77,4/1/11,1,0,1,8,0,2,1,1,0.14,0.69,0.1642,2,177,179,5
78,4/1/11,1,0,1,9,0,2,1,1,0.16,0.64,0.2239,2,98,100,4
79,4/1/11,1,0,1,10,0,2,1,2,0.16,0.69,0.3284,5,37,42,0
80,4/1/11,1,0,1,11,0,2,1,1,0.22,0.51,0.2985,7,50,57,3
81,4/1/11,1,0,1,12,0,2,1,1,0.22,0.51,0.1642,12,66,78,1
82,4/1/11,1,0,1,13,0,2,1,1,0.24,0.56,0.194,18,79,97,5
83,4/1/11,1,0,1,14,0,2,1,1,0.26,0.52,0.2239,9,54,63,0
84,4/1/11,1,0,1,15,0,2,1,1,0.28,0.52,0.2537,17,48,65,1
85,4/1/11,1,0,1,16,0,2,1,1,0.3,0.49,0.2537,15,68,83,7
86,4/1/11,1,0,1,17,0,2,1,1,0.28,0.48,0.2239,10,202,212,0
87,4/1/11,1,0,1,18,0,2,1,1,0.26,0.48,0.194,3,179,182,0
88,4/1/11,1,0,1,19,0,2,1,1,0.24,0.48,0.1045,2,110,112,0
89,4/1/11,1,0,1,20,0,2,1,1,0.24,0.48,0.1045,1,53,54,5
90,4/1/11,1,0,1,21,0,2,1,1,0.22,0.64,0,0,48,48,0
91,4/1/11,1,0,1,22,0,2,1,1,0.22,0.64,0.0896,1,34,35,3
92,4/1/11,1,0,1,23,0,2,1,1,0.2,0.69,0.0896,2,9,11,3
93,5/1/11,1,0,1,0,0,3,1,1,0.2,0.64,0,0,6,6,0
94,5/1/11,1,0,1,1,0,3,1,1,0.16,0.74,0.0896,0,6,6,0
95,5/1/11,1,0,1,2,0,3,1,1,0.16,0.74,0.0896,0,2,2,0
96,5/1/11,1,0,1,4,0,3,1,1,0.24,0.48,0.2239,0,2,2,0
97,5/1/11,1,0,1,5,0,3,1,1,0.22,0.47,0.1642,0,3,3,2
98,5/1/11,1,0,1,6,0,3,1,1,0.2,0.47,0.2239,0,33,33,2
99,5/1/11,1,0,1,7,0,3,1,1,0.18,0.43,0.194,1,87,88,5
100,5/1/11,1,0,1,8,0,3,1,1,0.2,0.4,0.2985,3,192,195,3
101,5/1/11,1,0,1,9,0,3,1,1,0.22,0.37,0.3284,6,109,115,0
102,5/1/11,1,0,1,10,0,3,1,1,0.22,0.37,0.3284,4,53,57,2
103,5/1/11,1,0,1,11,0,3,1,1,0.26,0.33,0.3284,12,34,46,7
104,5/1/11,1,0,1,12,0,3,1,1,0.26,0.33,0.3284,5,74,79,0
105,5/1/11,1,0,1,13,0,3,1,1,0.28,0.3,0.2985,6,65,71,5
106,5/1/11,1,0,1,14,0,3,1,1,0.3,0.28,0.194,10,52,62,2
107,5/1/11,1,0,1,15,0,3,1,1,0.3,0.28,0.194,7,55,62,2
108,5/1/11,1,0,1,16,0,3,1,1,0.3,0.28,0.0896,4,85,89,1
109,5/1/11,1,0,1,17,0,3,1,1,0.24,0.38,0.194,4,186,190,2
110,5/1/11,1,0,1,18,0,3,1,1,0.24,0.38,0.1343,3,166,169,1
111,5/1/11,1,0,1,19,0,3,1,1,0.24,0.38,0.1045,5,127,132,6
112,5/1/11,1,0,1,20,0,3,1,1,0.22,0.47,0.1642,7,82,89,1
113,5/1/11,1,0,1,21,0,3,1,1,0.2,0.51,0.194,3,40,43,7
114,5/1/11,1,0,1,22,0,3,1,1,0.18,0.55,0.1343,1,41,42,0
115,5/1/11,1,0,1,23,0,3,1,1,0.2,0.47,0,1,18,19,3
116,6/1/11,1,0,1,0,0,4,1,1,0.18,0.55,0,0,11,11,0
117,6/1/11,1,0,1,1,0,4,1,1,0.16,0.64,0,0,4,4,0
118,6/1/11,1,0,1,2,0,4,1,1,0.16,0.64,0,0,2,2,0
119,6/1/11,1,0,1,4,0,4,1,2,0.16,0.64,0.0896,0,1,1,0
120,6/1/11,1,0,1,5,0,4,1,2,0.14,0.69,0.0896,0,4,4,3
121,6/1/11,1,0,1,6,0,4,1,2,0.14,0.63,0.1045,0,36,36,7
122,6/1/11,1,0,1,7,0,4,1,2,0.16,0.59,0,0,95,95,7
123,6/1/11,1,0,1,8,0,4,1,1,0.16,0.59,0,3,216,219,4
124,6/1/11,1,0,1,9,0,4,1,2,0.18,0.51,0,6,116,122,6
125,6/1/11,1,0,1,10,0,4,1,1,0.2,0.47,0,3,42,45,6
126,6/1/11,1,0,1,11,0,4,1,1,0.22,0.44,0.0896,2,57,59,0
127,6/1/11,1,0,1,12,0,4,1,1,0.26,0.35,0,6,78,84,1
128,6/1/11,1,0,1,13,0,4,1,1,0.26,0.35,0.1045,12,55,67,6
129,6/1/11,1,0,1,14,0,4,1,1,0.28,0.36,0.1642,11,59,70,2
130,6/1/11,1,0,1,15,0,4,1,1,0.28,0.36,0,8,54,62,6
131,6/1/11,1,0,1,16,0,4,1,1,0.26,0.38,0.1642,12,74,86,5
132,6/1/11,1,0,1,17,0,4,1,1,0.22,0.51,0.1642,9,163,172,0
133,6/1/11,1,0,1,18,0,4,1,1,0.22,0.51,0.1343,5,158,163,4
134,6/1/11,1,0,1,19,0,4,1,1,0.22,0.55,0.0896,3,109,112,3
135,6/1/11,1,0,1,20,0,4,1,1,0.2,0.51,0.1642,3,66,69,1
136,6/1/11,1,0,1,21,0,4,1,2,0.22,0.55,0.2239,0,48,48,6
137,6/1/11,1,0,1,22,0,4,1,2,0.22,0.51,0.2836,1,51,52,5
138,6/1/11,1,0,1,23,0,4,1,2,0.2,0.59,0.194,4,19,23,0
139,7/1/11,1,0,1,0,0,5,1,2,0.2,0.64,0.194,4,13,17,3
140,7/1/11,1,0,1,1,0,5,1,2,0.2,0.69,0.2239,2,5,7,0
141,7/1/11,1,0,1,2,0,5,1,2,0.2,0.69,0.2239,0,1,1,0
142,7/1/11,1,0,1,4,0,5,1,2,0.2,0.69,0.1343,0,1,1,1
143,7/1/11,1,0,1,5,0,5,1,3,0.22,0.55,0,0,5,5,0
144,7/1/11,1,0,1,6,0,5,1,2,0.2,0.69,0,8,26,34,2
145,7/1/11,1,0,1,7,0,5,1,1,0.2,0.69,0.1343,8,76,84,0
146,7/1/11,1,0,1,8,0,5,1,1,0.2,0.51,0.2537,20,190,210,0
147,7/1/11,1,0,1,9,0,5,1,1,0.2,0.47,0.2985,9,125,134,6
148,7/1/11,1,0,1,10,0,5,1,1,0.22,0.37,0.3284,16,47,63,2
149,7/1/11,1,0,1,11,0,5,1,2,0.2,0.4,0.2239,19,48,67,0
150,7/1/11,1,0,1,12,0,5,1,2,0.2,0.37,0.2537,9,50,59,3
151,7/1/11,1,0,1,13,0,5,1,2,0.2,0.37,0.2836,9,64,73,3
152,7/1/11,1,0,1,14,0,5,1,2,0.2,0.4,0.2537,7,43,50,7
153,7/1/11,1,0,1,15,0,5,1,2,0.2,0.37,0.1642,9,63,72,1
154,7/1/11,1,0,1,16,0,5,1,2,0.2,0.37,0.1642,5,82,87,3
155,7/1/11,1,0,1,17,0,5,1,2,0.2,0.37,0,9,178,187,6
156,7/1/11,1,0,1,18,0,5,1,1,0.2,0.4,0.0896,7,116,123,3
157,7/1/11,1,0,1,19,0,5,1,1,0.16,0.55,0.0896,3,92,95,0
158,7/1/11,1,0,1,20,0,5,1,1,0.18,0.47,0.1045,1,50,51,0
159,7/1/11,1,0,1,21,0,5,1,1,0.18,0.47,0.1343,0,39,39,6
160,7/1/11,1,0,1,22,0,5,1,2,0.18,0.43,0.1642,2,34,36,3
161,7/1/11,1,0,1,23,0,5,1,2,0.18,0.51,0.1642,1,14,15,3
162,8/1/11,1,0,1,0,0,6,0,2,0.18,0.51,0.1642,1,24,25,0
163,8/1/11,1,0,1,1,0,6,0,2,0.18,0.55,0.0896,1,15,16,6
164,8/1/11,1,0,1,0.5,0,6,0,2,0.18,0.55,0,3,13,16,4
165,8/1/11,1,0,1,3,0,6,0,3,0.18,0.55,0.1642,0,7,7,0
166,8/1/11,1,0,1,4,0,6,0,3,0.18,0.55,0.1642,0,1,1,0
167,8/1/11,1,0,1,5,0,6,0,2,0.16,0.74,0.1642,0,5,5,0
168,8/1/11,1,0,1,6,0,6,0,2,0.16,0.74,0.1642,0,2,2,0
169,8/1/11,1,0,1,7,0,6,0,2,0.16,0.74,0.1045,1,8,9,0
170,8/1/11,1,0,1,8,0,6,0,3,0.16,0.93,0.1045,0,15,15,6
171,8/1/11,1,0,1,9,0,6,0,3,0.16,0.93,0.1045,0,20,20,5
172,8/1/11,1,0,1,10,0,6,0,2,0.18,0.8,0.1642,5,56,61,2
173,8/1/11,1,0,1,11,0,6,0,2,0.2,0.69,0.3881,2,60,62,7
174,8/1/11,1,0,1,12,0,6,0,2,0.2,0.59,0.3582,8,90,98,6
175,8/1/11,1,0,1,13,0,6,0,1,0.2,0.44,0.3284,7,95,102,5
176,8/1/11,1,0,1,14,0,6,0,1,0.2,0.32,0.4925,12,83,95,5
177,8/1/11,1,0,1,15,0,6,0,1,0.2,0.32,0.4478,5,69,74,3
178,8/1/11,1,0,1,16,0,6,0,1,0.18,0.29,0.4478,8,68,76,3
179,8/1/11,1,0,1,17,0,6,0,1,0.16,0.37,0.5522,5,64,69,6
180,8/1/11,1,0,1,18,0,6,0,1,0.14,0.39,0.2985,3,52,55,7
181,8/1/11,1,0,1,19,0,6,0,1,0.14,0.36,0.2537,4,26,30,7
182,8/1/11,1,0,1,20,0,6,0,1,0.12,0.36,0.2537,0,28,28,1
183,8/1/11,1,0,1,21,0,6,0,1,0.12,0.39,0.3582,2,35,37,0
184,8/1/11,1,0,1,22,0,6,0,1,0.12,0.36,0.3881,1,33,34,5
185,8/1/11,1,0,1,23,0,6,0,1,0.1,0.39,0.4478,0,22,22,1
186,9/1/11,1,0,1,0,0,0,0,1,0.1,0.42,0.3881,1,24,25,0
187,9/1/11,1,0,1,1,0,0,0,1,0.1,0.42,0.4627,0,12,12,7
188,9/1/11,1,0,1,2,0,0,0,1,0.1,0.46,0.4627,0,11,11,2
189,9/1/11,1,0,1,3,0,0,0,1,0.1,0.46,0.4179,0,4,4,1
190,9/1/11,1,0,1,4,0,0,0,1,0.08,0.53,0.194,0,1,1,0
191,9/1/11,1,0,1,5,0,0,0,1,0.08,0.53,0.194,0,1,1,0
192,9/1/11,1,0,1,6,0,0,0,1,0.1,0.49,0.2836,0,1,1,0
193,9/1/11,1,0,1,7,0,0,0,1,0.08,0.53,0.194,1,5,6,4
194,9/1/11,1,0,1,8,0,0,0,1,0.1,0.49,0.2836,0,10,10,7
195,9/1/11,1,0,1,9,0,0,0,1,0.12,0.46,0.5224,0,19,19,0
196,9/1/11,1,0,1,10,0,0,0,1,0.14,0.43,0.3881,0,49,49,6
197,9/1/11,1,0,1,11,0,0,0,1,0.16,0.4,0.5224,2,47,49,2
198,9/1/11,1,0,1,12,0,0,0,1,0.18,0.37,0.4478,4,79,83,7
199,9/1/11,1,0,1,13,0,0,0,1,0.2,0.34,0.4478,6,69,75,5
200,9/1/11,1,0,1,14,0,0,0,1,0.22,0.32,0.4627,8,64,72,4
201,9/1/11,1,0,1,15,0,0,0,1,0.22,0.35,0.3582,5,77,82,5
202,9/1/11,1,0,1,16,0,0,0,1,0.2,0.34,0.4478,13,79,92,0
203,9/1/11,1,0,1,17,0,0,0,1,0.18,0.37,0.3881,3,59,62,3
204,9/1/11,1,0,1,18,0,0,0,1,0.16,0.4,0.3284,4,44,48,2
205,9/1/11,1,0,1,19,0,0,0,1,0.16,0.43,0.3284,1,40,41,4
206,9/1/11,1,0,1,20,0,0,0,1,0.14,0.46,0.2537,0,38,38,1
207,9/1/11,1,0,1,21,0,0,0,1,0.14,0.46,0.4179,1,19,20,0
208,9/1/11,1,0,1,22,0,0,0,1,0.14,0.46,0.2985,5,10,15,6
209,9/1/11,1,0,1,23,0,0,0,1,0.12,0.5,0.194,0,6,6,2
210,10/1/11,1,0,1,0,0,1,1,1,0.12,0.5,0.2836,2,3,5,0
211,10/1/11,1,0,1,1,0,1,1,1,0.12,0.5,0.2836,1,0,1,0
212,10/1/11,1,0,1,2,0,1,1,1,0.12,0.5,0.2239,0,3,3,0
213,10/1/11,1,0,1,3,0,1,1,1,0.12,0.5,0.2239,0,1,1,0
214,10/1/11,1,0,1,4,0,1,1,1,0.1,0.54,0.1343,1,2,3,0
215,10/1/11,1,0,1,5,0,1,1,1,0.1,0.54,0.2537,0,3,3,0
216,10/1/11,1,0,1,6,0,1,1,1,0.12,0.5,0.2836,0,31,31,1
217,10/1/11,1,0,1,7,0,1,1,1,0.12,0.5,0.2239,2,75,77,0
218,10/1/11,1,0,1,8,0,1,1,2,0.12,0.5,0.2836,4,184,188,2
219,10/1/11,1,0,1,9,0,1,1,2,0.14,0.5,0.2537,2,92,94,5
220,10/1/11,1,0,1,10,0,1,1,2,0.14,0.5,0.2985,0,31,31,0
221,10/1/11,1,0,1,11,0,1,1,2,0.16,0.47,0.2836,2,28,30,0
222,10/1/11,1,0,1,12,0,1,1,2,0.2,0.4,0.2836,5,47,52,0
223,10/1/11,1,0,1,13,0,1,1,2,0.2,0.4,0.2836,4,50,54,4
224,10/1/11,1,0,1,14,0,1,1,2,0.2,0.4,0.2239,0,47,47,4
225,10/1/11,1,0,1,15,0,1,1,2,0.2,0.4,0.2239,2,43,45,4
226,10/1/11,1,0,1,16,0,1,1,1,0.2,0.4,0.1343,4,70,74,0
227,10/1/11,1,0,1,17,0,1,1,1,0.2,0.4,0.1045,4,174,178,5
228,10/1/11,1,0,1,18,0,1,1,1,0.2,0.4,0.2239,1,154,155,6
229,10/1/11,1,0,1,19,0,1,1,1,0.16,0.47,0.1642,3,92,95,2
230,10/1/11,1,0,1,20,0,1,1,1,0.16,0.5,0.1642,1,73,74,4
231,10/1/11,1,0,1,21,0,1,1,1,0.14,0.59,0.194,1,37,38,4
232,10/1/11,1,0,1,22,0,1,1,1,0.14,0.59,0.1642,2,22,24,0
233,10/1/11,1,0,1,23,0,1,1,1,0.14,0.59,0.1642,0,18,18,0
234,11/1/11,1,0,1,0,0,2,1,1,0.14,0.59,0.1045,2,10,12,7
235,11/1/11,1,0,1,1,0,2,1,1,0.14,0.59,0.1642,0,3,3,0
236,11/1/11,1,0,1,2,0,2,1,2,0.16,0.55,0.194,0,3,3,1
237,11/1/11,1,0,1,5,0,2,1,2,0.16,0.55,0.1343,0,6,6,6
238,11/1/11,1,0,1,6,0,2,1,2,0.16,0.55,0.1343,0,27,27,0
239,11/1/11,1,0,1,7,0,2,1,2,0.16,0.55,0,2,97,99,6
240,11/1/11,1,0,1,8,0,2,1,2,0.18,0.51,0.0896,3,214,217,3
241,11/1/11,1,0,1,9,0,2,1,2,0.18,0.51,0.1642,3,127,130,0
242,11/1/11,1,0,1,10,0,2,1,2,0.2,0.51,0.1642,3,51,54,0
243,11/1/11,1,0,1,11,0,2,1,2,0.2,0.47,0.1343,4,31,35,1
244,11/1/11,1,0,1,12,0,2,1,2,0.2,0.51,0.1045,2,55,57,7
245,11/1/11,1,0,1,13,0,2,1,2,0.2,0.59,0.0896,6,46,52,0
246,11/1/11,1,0,1,14,0,2,1,2,0.2,0.59,0.0896,3,60,63,0
247,11/1/11,1,0,1,15,0,2,1,2,0.16,0.8,0.0896,2,45,47,0
248,11/1/11,1,0,1,16,0,2,1,2,0.16,0.86,0.2239,4,72,76,0
249,11/1/11,1,0,1,17,0,2,1,2,0.16,0.86,0.2239,6,130,136,3
250,11/1/11,1,0,1,18,0,2,1,3,0.16,0.93,0.1045,1,94,95,7
251,11/1/11,1,0,1,19,0,2,1,3,0.16,0.93,0,0,51,51,0
252,11/1/11,1,0,1,20,0,2,1,3,0.16,0.93,0.194,0,32,32,0
253,11/1/11,1,0,1,21,0,2,1,3,0.16,0.86,0.0896,0,20,20,7
254,11/1/11,1,0,1,22,0,2,1,3,0.16,0.93,0.1045,1,28,29,4
255,11/1/11,1,0,1,23,0,2,1,3,0.16,0.93,0.0896,1,18,19,3
256,12/1/11,1,0,1,0,0,3,1,2,0.16,0.86,0.0896,0,7,7,5
257,12/1/11,1,0,1,1,0,3,1,2,0.16,0.86,0.1045,0,6,6,6
258,12/1/11,1,0,1,2,0,3,1,1,0.14,0.86,0.1343,0,1,1,0
259,12/1/11,1,0,1,5,0,3,1,1,0.14,0.86,0.1642,0,5,5,2
260,12/1/11,1,0,1,6,0,3,1,1,0.12,0.93,0.1343,0,16,16,7
261,12/1/11,1,0,1,7,0,3,1,1,0.14,0.69,0.1343,0,54,54,5
262,12/1/11,1,0,1,8,0,3,1,1,0.16,0.59,0.1642,3,125,128,5
263,12/1/11,1,0,1,9,0,3,1,1,0.16,0.59,0.3284,3,78,81,0
264,12/1/11,1,0,1,10,0,3,1,1,0.18,0.55,0.2239,0,39,39,0
265,12/1/11,1,0,1,11,0,3,1,1,0.2,0.51,0.3881,3,32,35,3
266,12/1/11,1,0,1,12,0,3,1,1,0.2,0.47,0.5821,3,52,55,2
267,12/1/11,1,0,1,13,0,3,1,1,0.22,0.44,0.3582,0,49,49,1
268,12/1/11,1,0,1,14,0,3,1,1,0.2,0.47,0.3284,0,44,44,0
269,12/1/11,1,0,1,15,0,3,1,1,0.2,0.47,0.4179,1,48,49,5
270,12/1/11,1,0,1,16,0,3,1,1,0.22,0.44,0.3284,5,63,68,0
271,12/1/11,1,0,1,17,0,3,1,1,0.2,0.47,0.3582,0,139,139,2
272,12/1/11,1,0,1,18,0,3,1,1,0.2,0.47,0.5224,2,135,137,0
273,12/1/11,1,0,1,19,0,3,1,1,0.18,0.47,0.4179,1,82,83,1
274,12/1/11,1,0,1,20,0,3,1,1,0.16,0.5,0.3284,2,54,56,0
275,12/1/11,1,0,1,21,0,3,1,1,0.16,0.55,0.3284,0,57,57,5
276,12/1/11,1,0,1,22,0,3,1,1,0.16,0.55,0.4478,1,32,33,6
277,12/1/11,1,0,1,23,0,3,1,1,0.14,0.59,0.4179,1,19,20,5
278,13/01/2011,1,0,1,0,0,4,1,1,0.14,0.59,0.2836,1,6,7,1
279,13/01/2011,1,0,1,1,0,4,1,1,0.14,0.5,0.2836,0,2,2,0
280,13/01/2011,1,0,1,2,0,4,1,1,0.14,0.5,0.3582,0,2,2,0
281,13/01/2011,1,0,1,3,0,4,1,1,0.14,0.5,0.3284,0,3,3,2
282,13/01/2011,1,0,1,4,0,4,1,1,0.14,0.5,0.2537,0,4,4,0
283,13/01/2011,1,0,1,5,0,4,1,1,0.14,0.5,0.2985,0,3,3,0
284,13/01/2011,1,0,1,6,0,4,1,1,0.12,0.54,0.1343,0,28,28,0
285,13/01/2011,1,0,1,7,0,4,1,1,0.12,0.54,0.1343,0,72,72,4
286,13/01/2011,1,0,1,8,0,4,1,1,0.14,0.5,0.194,5,197,202,0
287,13/01/2011,1,0,1,9,0,4,1,1,0.14,0.5,0.3284,2,137,139,0
288,13/01/2011,1,0,1,10,0,4,1,2,0.16,0.5,0.3582,2,36,38,0
289,13/01/2011,1,0,1,11,0,4,1,2,0.2,0.44,0.4478,4,33,37,4
290,13/01/2011,1,0,1,12,0,4,1,1,0.2,0.44,0.4179,3,49,52,3
291,13/01/2011,1,0,1,13,0,4,1,1,0.22,0.41,0.4478,2,81,83,1
292,13/01/2011,1,0,1,14,0,4,1,1,0.22,0.41,0.3881,3,39,42,7
293,13/01/2011,1,0,1,15,0,4,1,1,0.24,0.38,0.2985,5,55,60,1
294,13/01/2011,1,0,1,16,0,4,1,1,0.24,0.38,0.3582,2,76,78,0
295,13/01/2011,1,0,1,17,0,4,1,1,0.2,0.4,0.2836,4,158,162,6
296,13/01/2011,1,0,1,18,0,4,1,1,0.2,0.4,0.3284,3,141,144,5
297,13/01/2011,1,0,1,19,0,4,1,1,0.16,0.47,0.2537,1,98,99,0
298,13/01/2011,1,0,1,20,0,4,1,1,0.16,0.47,0.2239,0,64,64,3
299,13/01/2011,1,0,1,21,0,4,1,1,0.14,0.46,0.2985,0,40,40,0
300,13/01/2011,1,0,1,22,0,4,1,1,0.14,0.46,0.3284,0,30,30,6
301,13/01/2011,1,0,1,23,0,4,1,1,0.12,0.5,0.194,1,14,15,5
302,14/01/2011,1,0,1,0,0,5,1,1,0.12,0.5,0.194,0,14,14,7
303,14/01/2011,1,0,1,1,0,5,1,1,0.1,0.54,0.1642,0,5,5,5
304,14/01/2011,1,0,1,2,0,5,1,1,0.1,0.54,0.1343,0,1,1,0
305,14/01/2011,1,0,1,3,0,5,1,1,0.1,0.54,0.1045,0,1,1,0
306,14/01/2011,1,0,1,5,0,5,1,1,0.1,0.54,0.0896,0,8,8,2
307,14/01/2011,1,0,1,6,0,5,1,1,0.1,0.54,0,0,17,17,0
308,14/01/2011,1,0,1,7,0,5,1,1,0.1,0.74,0.1642,0,70,70,2
309,14/01/2011,1,0,1,8,0,5,1,1,0.12,0.68,0,2,156,158,0
310,14/01/2011,1,0,1,9,0,5,1,1,0.14,0.69,0.1343,0,117,117,5
